Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Have you completed this demographics page before?,Current location,,"In what year were you born? (enter 4-digit birth year; for example, 1976)",What is the highest level of school you have completed or the highest degree you have received?,Are you male or female?,Provide a short 1-2 word name of one physical activity.,"Describe the physical activity clearly. For example, if you wrote ""hockey"" above, clarify whether you meant field hockey or ice hockey. If you wrote ""martial arts,"" clarify which specific martial arts you practice. If you wrote ""gym,"" clarify which specific activity you did at the gym.","If you have a physical disability, to what extent does it interfere with your ability to do this activity?",Provide a short 1-2 word name of another physical activity.,"Describe the second physical activity clearly. Please be specific enough so that our analyst can group your physical activities with other people' similar physical activities. For example, if you wrote ""football,"" clarify whether you meant soccer, Gridiron football, rugby, or Australian rules football.","If you have a physical disability, to what extent does it interfere with your ability to do this second activity?","During the activity, do you engage with a group or go it solo?",,How expert are you at these physical activities?,,How much skill is required?,How predictable is the action?,To what extent do you find new and fresh experiences during the activity?,To what extent are there opportunities to express creativity during the activity?,How complex is the action and the environment in which it takes place?,How clear and straightforward are the long-term goals?,How quickly do you know whether what you wanted to accomplish in the long term was successful?,"How clear and straightforward are the short-term, moment-to-moment goals?",How quickly do you know whether what you wanted to accomplish in the short term was successful?,Does your extraneous mental chatter temporarily shut down during the activity?,How much time do you feel like is spent waiting for the next step in the activity?,How much of your body is involved in the activity? Is it full-body or only part of your body?,How much control do you feel like you can exert over your performance?,"During the activity, to what extent do you feel like you are in the present moment?",How spontaneous is your action?,"During the activity, how important does the activity feel?",To what extent do you care about how others judge your performance?,"After engaging in the physical activity, to what extent do you feel great?",What is the risk of minor physical injury (more than just muscle soreness)?,What is the risk of serious physical injury?
,,01/30/2017 12:04:57 PM,01/30/2017 12:05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/30/2017 11:30:13 AM,01/30/2017 11:40:18 AM,,,,,,,"Richmond, VA",USA,1993,Bachelor degree,Female,eliptical,ussage of eliptical,I do not feel hindered or do not have a physical disability.,free weights,lifting weights not attached to a machine,I do not feel hindered or do not have a physical disability.,Solo,Solo,Beginner,Beginner,{{Q9}} requires much more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,{{Q9}} admits much more creativity than {{Q6}}.,{{Q9}} is much more complex than {{Q6}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q9}} has somewhat more clear goals than {{Q6}}.,Both offer roughly equally immediate feedback.,{{Q9}} turns off my mental chatter much more than {{Q6}}.,{{ Q9 }} involves a lot more waiting than {{ Q6 }}.,{{Q6}} involves much more of my body than {{Q9}}.,Both admit roughly equal control.,{{Q9}} brings me into the present much more than {{Q6}}.,{{Q6}} feels effortless compare to {{Q9}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q9}} has much more chance of serious physical injury compare to {{Q6}}.
,,01/30/2017 10:15:36 AM,01/30/2017 10:17:21 AM,,,,,,,"Richmond, VA",USA,1997,Some college but no degree,Female,Dance,Attended dance practice for my pro-dance team,I feel slightly hindered.,Interval training ,I did Kayla Itsines Bikini Body Guide,I feel slightly hindered.,,,,,,,,,,,,,,,,,,,,,,,,
,,01/30/2017 09:52:28 AM,01/30/2017 10:08:24 AM,,,,,,,"Richmond, VA",USA,1992,Bachelor degree,Male,Soccer,organized outdoor 11 v 11 soccer,I do not feel hindered or do not have a physical disability.,basketball,pick-up basketball,I do not feel hindered or do not have a physical disability.,Group,Group,Expert or professional,Competent amateur,Both require roughly equal skill.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,{{Q6}} admits somewhat more creativity than {{Q9}}.,{{Q9}} is somewhat more complex than {{Q6}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q6}} has somewhat more clear goals than {{Q9}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q9}} involves a somewhat more waiting than {{ Q6}}.,Both involve my body to a roughly equal extent.,{{Q6}} permits somewhat more control than {{Q9}}.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels like less effort than {{Q9}}.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q9}}, I am somewhat more concerned about others' evaluations than during {{Q6}}.",{{Q6}} is somewhat more rewarding than {{Q9}}.,The chance of physical injury is roughly equal.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,01/30/2017 09:52:32 AM,01/30/2017 09:53:54 AM,,,,,,,"Richmond, VA",USA,1996,Associate degree,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/30/2017 09:34:24 AM,01/30/2017 09:54:22 AM,,,,,,,"Richmond, VA",USA,1991,Bachelor degree,Male,Mountain Biking,Cross country mountain biking on mixed use and dedicated trails in the eastern coast states.  Trail ratings of mainly blue and black.,I do not feel hindered or do not have a physical disability.,Skiing,"Resort skiing on trails, glades, and bowls in New England, VA, and CO.",I do not feel hindered or do not have a physical disability.,Solo,Solo,Expert or professional,Competent amateur,{{Q6}} requires somewhat more skill than {{Q9}}.,{{Q9}} is somewhat more predictable than {{Q6}}.,Both offer roughly equal novelty.,{{Q6}} admits somewhat more creativity than {{Q9}}.,{{Q6}} is somewhat more complex than {{Q9}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,Both offer roughly equally immediate feedback.,{{Q6}} turns off my mental chatter somewhat more than {{Q9}}.,{{ Q9 }} involves a lot more waiting than {{ Q6 }}.,Both involve my body to a roughly equal extent.,{{Q6}} permits somewhat more control than {{Q9}}.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels like less effort than {{Q9}}.,Both have roughly equal stakes.,"During {{Q6}}, I am much more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is somewhat more rewarding than {{Q9}}.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,The chance of serious physical injury is roughly equal.
,,01/30/2017 09:03:24 AM,01/30/2017 09:11:09 AM,,,,,,,"Richmond, VA",USA,1984,Graduate degree,Female,Running,,,Cycling,,,Solo,Solo,Competent amateur,Competent amateur,{{Q9}} requires somewhat more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,{{Q9}} admits much more creativity than {{Q6}}.,{{Q9}} is somewhat more complex than {{Q6}}.,Both have equally clear goals.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,Both have equally clear goals.,{{Q6}} has much more immediate feedback than {{Q9}}.,,Both involve about the same amount of waiting.,{{Q6}} involves somewhat more of my body than {{Q9}}.,{{Q9}} permits somewhat more control than {{Q6}}.,{{Q9}} brings me into the present much more than {{Q6}}.,{{Q6}} feels like less effort than {{Q9}}.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q9}}, I am somewhat more concerned about others' evaluations than during {{Q6}}.",Both are roughly equally rewarding.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q9}} has much more chance of serious physical injury compare to {{Q6}}.
,,01/30/2017 08:36:26 AM,01/30/2017 08:52:42 AM,,,,,,,"Richmond, VA",USA,1998,Some college but no degree,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/30/2017 08:50:57 AM,01/30/2017 08:54:59 AM,,,,,,,"Richmond, VA",USA,1970,Graduate degree,Female,Treadmill,"Walking on a treadmill, at 3.7 speed, using rolling hills setting.",I do not feel hindered or do not have a physical disability.,Elliptical,Using an Elliptical machine.,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q9}} requires somewhat more skill than {{Q6}}.,{{Q6}} is somewhat more predictable than {{Q9}}.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,{{Q9}} is somewhat more complex than {{Q6}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,Both involve about the same amount of waiting.,{{Q9}} involves somewhat more of my body than {{Q6}}.,Both admit roughly equal control.,{{Q9}} brings me into the present somewhat more than {{Q6}}.,Both require about the same extent of effort (both either effortless or effortful).,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q9}} is somewhat more rewarding than {{Q6}}.,{{Q9}} has somewhat more chance of physical injury compare to {{Q6}}.,{{Q9}} has somewhat more chance of serious physical injury compare to {{Q6}}.
,,01/30/2017 08:40:08 AM,01/30/2017 08:49:11 AM,,,,,,,"Richmond, Virginia",USA,1985,Bachelor degree,Female,Weight lifting,,I do not feel hindered or do not have a physical disability.,Running,,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q6}} requires somewhat more skill than {{Q9}}.,Both offer roughly equal predictability.,{{Q6}} offers a somewhat more novelty than {{Q9}}.,{{Q6}} admits somewhat more creativity than {{Q9}}.,{{Q6}} is somewhat more complex than {{Q9}}.,Both have equally clear goals.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,Both have equally clear goals.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q9}} involves somewhat more of my body than {{Q6}}.,{{Q6}} permits somewhat more control than {{Q9}}.,{{Q6}} brings me into the present much more than {{Q9}}.,{{Q6}} feels like less effort than {{Q9}}.,{{Q6}} has somewhat higher stakes than {{Q9}}.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is somewhat more rewarding than {{Q9}}.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,01/30/2017 08:38:27 AM,01/30/2017 08:45:23 AM,,,,,,,"Richmond, VA",USA,1995,Some college but no degree,Female,Running,,I do not feel hindered or do not have a physical disability.,Crunches,Ab crunches,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q6}} requires somewhat more skill than {{Q9}}.,{{Q9}} is somewhat more predictable than {{Q6}}.,Both offer roughly equal novelty.,{{Q9}} admits somewhat more creativity than {{Q6}}.,{{Q6}} is much more complex than {{Q9}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q9}} turns off my mental chatter much more than {{Q6}}.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,{{Q9}} permits much more control than {{Q6}}.,{{Q9}} brings me into the present much more than {{Q6}}.,{{Q6}} feels effortless compare to {{Q9}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,01/30/2017 07:37:23 AM,01/30/2017 07:48:19 AM,,,,,,,"Richmond, VA",USA,1989,Graduate degree,Female,running,Running on the elliptical machine ,I do not feel hindered or do not have a physical disability.,weightlifting,Weightlifting using gym machine equipment (not free weights),I do not feel hindered or do not have a physical disability.,Solo,Solo,Beginner,Competent amateur,Both require roughly equal skill.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,{{Q6}} admits somewhat more creativity than {{Q9}}.,Both are of roughly equal complexity.,,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter somewhat more than {{Q9}}.,{{ Q9}} involves a somewhat more waiting than {{ Q6}}.,{{Q6}} involves much more of my body than {{Q9}}.,{{Q9}} permits somewhat more control than {{Q6}}.,{{Q6}} brings me into the present much more than {{Q9}}.,{{Q6}} feels like less effort than {{Q9}}.,{{Q6}} has somewhat higher stakes than {{Q9}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q6}} is somewhat more rewarding than {{Q9}}.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.
,,01/30/2017 03:40:24 AM,01/30/2017 06:01:18 AM,,,,,,Yes,"Richmond,va",USA,1996,Some college but no degree,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/30/2017 05:02:29 AM,01/30/2017 05:03:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/30/2017 02:54:58 AM,01/30/2017 02:55:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/30/2017 02:26:23 AM,01/30/2017 02:27:21 AM,,,,,,,"Richmond, VA",USA,1995,Some college but no degree,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/29/2017 05:53:40 PM,01/29/2017 06:04:16 PM,,,,,,,Newport Hampshire ,UK,1962,Bachelor degree,Female,Running,Jogging and running daily,I do not feel hindered or do not have a physical disability.,Kettle bell,Work out with Kettle bells,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q9}} requires much more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,{{Q9}} admits somewhat more creativity than {{Q6}}.,Both are of roughly equal complexity.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,Both have equally clear goals.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels like less effort than {{Q9}}.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q9}} is somewhat more rewarding than {{Q6}}.,The chance of physical injury is roughly equal.,{{Q9}} has somewhat more chance of serious physical injury compare to {{Q6}}.
,,01/28/2017 03:59:50 PM,01/28/2017 04:00:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/28/2017 12:57:09 PM,01/28/2017 12:59:05 PM,,,,,,,,,,,,gym,lifting,I do not feel hindered or do not have a physical disability.,running,road running,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q6}} requires much more skill than {{Q9}}.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,{{Q6}} admits much more creativity than {{Q9}}.,{{Q6}} is much more complex than {{Q9}}.,{{Q6}} has somewhat more clear goals than {{Q9}}.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter somewhat more than {{Q9}}.,Both involve about the same amount of waiting.,{{Q6}} involves somewhat more of my body than {{Q9}}.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels like less effort than {{Q9}}.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During {{Q9}}, I am somewhat more concerned about others' evaluations than during {{Q6}}.",{{Q9}} is somewhat more rewarding than {{Q6}}.,{{Q9}} has somewhat more chance of physical injury compare to {{Q6}}.,The chance of serious physical injury is roughly equal.
,,01/27/2017 07:10:11 AM,01/27/2017 07:25:31 AM,,,,,,,"Potsdam, Brandenburg",Germany,1990,Bachelor degree,Female,karate,,,cardio fitness,cardio training with online videos at home,,Group,Solo,Expert or professional,Competent amateur,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,Both offer roughly equal novelty.,{{Q9}} admits much more creativity than {{Q6}}.,{{Q6}} is much more complex than {{Q9}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,{{Q9}} has much more immediate feedback than {{Q6}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During {{Q6}}, I am much more concerned about others' evaluations than during {{Q9}}.",Both are roughly equally rewarding.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,01/27/2017 06:48:11 AM,01/27/2017 06:49:15 AM,,,,,,Yes,Vicenza ,Italy,1994,Some college but no degree,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/27/2017 06:47:58 AM,01/27/2017 06:48:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/25/2017 06:43:27 PM,01/25/2017 06:43:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/24/2017 04:21:35 PM,01/24/2017 04:27:46 PM,,,,,,,"Plymouth, Devon",UK,1995,Bachelor degree,Male,Badminton,Playing badminton with 3 others in a leisure center.,I do not feel hindered or do not have a physical disability.,Swimming,Swimming while on holiday,I do not feel hindered or do not have a physical disability.,Group,Solo,Competent amateur,Competent amateur,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q6}} admits somewhat more creativity than {{Q9}}.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q9}} has somewhat more clear goals than {{Q6}}.,Both offer roughly equally immediate feedback.,{{Q6}} turns off my mental chatter somewhat more than {{Q9}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,{{Q6}} brings me into the present somewhat more than {{Q9}}.,{{Q9}} feels like less effort than {{Q6}}.,{{Q6}} has somewhat higher stakes than {{Q9}}.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",Both are roughly equally rewarding.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,01/24/2017 07:19:19 AM,01/24/2017 07:20:23 AM,,,,,,Yes,,,,,,Jogging,,,Squash,,,Group,Group,Competent amateur,Competent amateur,,,,,,,,,,,,,,,,,,,,
,,01/23/2017 11:17:03 AM,01/23/2017 11:18:13 AM,,,,,,,"ankeny, ia",usa,1993,Associate degree,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/22/2017 12:36:44 PM,01/22/2017 12:36:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/22/2017 12:30:46 PM,01/22/2017 12:33:58 PM,,,,,,,lon,uk,1985,Bachelor degree,Female,aerobic,dancing,I am more than slightly hindered.,yoga,stretches,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q9}} requires much more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,Both admit roughly the same amount of creativity.,{{Q9}} is somewhat more complex than {{Q6}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} has somewhat more clear goals than {{Q9}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q9 }} involves a lot more waiting than {{ Q6 }}.,{{Q9}} involves much more of my body than {{Q6}}.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels effortless compare to {{Q9}} where I have to struggle and force myself.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q9}} is much more rewarding than {{Q6}}.,The chance of physical injury is roughly equal.,{{Q9}} has somewhat more chance of serious physical injury compare to {{Q6}}.
,,01/21/2017 07:10:08 PM,01/21/2017 07:25:44 PM,,,,,,,"Glendale, Az",USA,1994,Some college but no degree,Male,Weight Training,Doing 7 days of workout of intensive weight training. For each day I assign a certain muscle group to focus on to ensure a good overall strength.,I do not feel hindered or do not have a physical disability.,Soccer,I played in a short 10 game season of recreational intramural soccer at my college.,I feel slightly hindered.,Group,Group,Competent amateur,Expert or professional,{{Q9}} requires much more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,Both admit roughly the same amount of creativity.,{{Q6}} is somewhat more complex than {{Q9}}.,{{Q9}} has much more clear goals than {{Q6}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q9}} has much more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q6}} involves much more of my body than {{Q9}}.,Both admit roughly equal control.,{{Q9}} brings me into the present somewhat more than {{Q6}}.,{{Q9}} feels like less effort than {{Q6}}.,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q6}} is much more rewarding than {{Q9}}.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,01/20/2017 05:31:37 AM,01/20/2017 05:33:00 AM,,,,,,,Karlsruhe,Germany,1981,Graduate degree,Female,floorball,,I do not feel hindered or do not have a physical disability.,none,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/19/2017 04:32:47 PM,01/19/2017 04:55:01 PM,,,,,,,,Israel,1959,Graduate degree,Female,Swimming,In the open sea with my husband and dog for 30-40 minutes ,I do not feel hindered or do not have a physical disability.,Walking,With my dog and often a friend in a variety of locations. Usually for about 45 minutes. ,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q6}} admits much more creativity than {{Q9}}.,{{Q6}} is much more complex than {{Q9}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,Both involve about the same amount of waiting.,{{Q6}} involves much more of my body than {{Q9}}.,{{Q6}} permits somewhat more control than {{Q9}}.,{{Q6}} brings me into the present somewhat more than {{Q9}}.,{{Q9}} feels like less effort than {{Q6}}.,{{Q6}} has much higher stakes than {{Q9}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q6}} is much more rewarding than {{Q9}}.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,The chance of serious physical injury is roughly equal.
,,01/19/2017 07:48:45 AM,01/19/2017 08:10:49 AM,,,,,,,"Duisburg, North Rhine Westfalia",Germany,1980,Graduate degree,Female,climbing,"toprope, indoor climining walls",I feel slightly hindered.,swimming,breaststroke,I feel slightly hindered.,Group,Solo,Beginner,Competent amateur,{{Q6}} requires somewhat more skill than {{Q9}}.,,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q6}} admits much more creativity than {{Q9}}.,{{Q6}} is much more complex than {{Q9}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q9}} involves a somewhat more waiting than {{ Q6}}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,{{Q6}} brings me into the present somewhat more than {{Q9}}.,{{Q9}} feels like less effort than {{Q6}}.,Both have roughly equal stakes.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",Both are roughly equally rewarding.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,01/19/2017 07:32:41 AM,01/19/2017 07:40:00 AM,,,,,,,Berlin,Germany,1962,Graduate degree,Male,walking ,walking up and down the hills,I do not feel hindered or do not have a physical disability.,cycling,cycling tours 50 to 80 miles,I do not feel hindered or do not have a physical disability.,Solo,Solo,Beginner,Beginner,Both require roughly equal skill.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.
,,01/18/2017 03:52:59 PM,01/18/2017 03:55:43 PM,,,,,,,"Wiesbaden, Hessen",Germany,1990,Bachelor degree,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/18/2017 03:19:44 PM,01/18/2017 03:24:43 PM,,,,,,,Zürich,Switzerland,1981,Bachelor degree,Female,Volleyball,Mixed Team Volleyball,,Jogging,Outside,,Group,Solo,Competent amateur,Beginner,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q6}} admits much more creativity than {{Q9}}.,{{Q6}} is much more complex than {{Q9}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q6}} involves much more of my body than {{Q9}}.,{{Q9}} permits somewhat more control than {{Q6}}.,{{Q6}} brings me into the present much more than {{Q9}}.,{{Q6}} feels effortless compare to {{Q9}} where I have to struggle and force myself.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q6}}, I am much more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is much more rewarding than {{Q9}}.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
