Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Current location,,"In what year were you born? (enter 4-digit birth year; for example, 1976)",What is the highest level of school you have completed or the highest degree you have received?,Are you male or female?,Provide a short 1-2 word name of one physical activity.,"Describe the physical activity clearly. For example, if you wrote ""gym,"" clarify which specific activity you did at the gym. If you wrote ""martial arts,"" clarify which specific martial arts you practice. If you wrote ""hockey"" above, clarify whether you meant field hockey or ice hockey.","If you have a physical disability, to what extent does it interfere with your ability to do this activity?",Provide a short 1-2 word name of another physical activity.,"Describe the second physical activity clearly. Please be specific enough so that our analyst can group your physical activities with other people' similar physical activities. For example, if you wrote ""football,"" clarify whether you meant soccer, Gridiron football, rugby, or Australian rules football.","If you have a physical disability, to what extent does it interfere with your ability to do this second activity?","During the activity, do you engage with a group or go it solo?",,How expert are you at these physical activities?,,How much skill is required?,How predictable is the action?,To what extent do you find new and fresh experiences during the activity?,To what extent are there opportunities to express creativity during the activity?,How complex is the action and the environment in which it takes place?,How clear and straightforward are the long-term goals?,How quickly do you know whether what you wanted to accomplish in the long term was successful?,"How clear and straightforward are the short-term, moment-to-moment goals?",How quickly do you know whether what you wanted to accomplish in the short term was successful?,Does your extraneous mental chatter temporarily shut down during the activity?,How much time do you feel like is spent waiting for the next step in the activity?,How much of your body is involved in the activity? Is it full-body or only part of your body?,How much control do you feel like you can exert over your performance?,"During the activity, to what extent do you feel like you are in the present moment?",How spontaneous is your action?,"During the activity, how important does the activity feel?",To what extent do you care about how others judge your performance?,"After engaging in the physical activity, to what extent do you feel great?",What is the risk of minor physical injury (more than just muscle soreness)?,What is the risk of serious physical injury?,"Did you read all of the instructions and questions carefully? In your honest opinion, should we use your data in our analyses?"
,,01/29/2018 02:40:27 AM,01/29/2018 03:15:36 AM,,,,,,TN,IN,1981,Bachelor degree,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/29/2018 03:04:30 AM,01/29/2018 03:17:34 AM,,,,,,"tirupur,tamilnadu.",india,1987,Bachelor degree,Male,kabbadi,kabbadi at match practice,I do not feel hindered or do not have a physical disability.,running,competitive at our city,I do not feel hindered or do not have a physical disability.,Group,Solo,Expert or professional,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q8}} turns off my mental chatter much more than {{Q5}}.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,{{Q5}} permits much more control than {{Q8}}.,{{Q5}} brings me into the present much more than {{Q8}}.,Both require about the same extent of effort (both either effortless or effortful).,{{Q5}} has much higher stakes than {{Q8}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",{{Q8}} is much more rewarding than {{Q5}}.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,01/29/2018 02:50:50 AM,01/29/2018 02:51:13 AM,,,,,,"Tucson, AZ",USA,1970,Bachelor degree,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/29/2018 02:41:16 AM,01/29/2018 02:52:27 AM,,,,,,"Cokeburg, PA",USA,1965,Some college but no degree,Male,Bowling,I am in a weekly bowling league on Saturday mornings.,I do not feel hindered or do not have a physical disability.,Basketball,I play the occasional pickup basketball game with the guys around town here.,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,{{Q8}} offers a somewhat more novelty than {{Q5}}.,{{Q8}} admits much more creativity than {{Q5}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,{{Q8}} involves much more of my body than {{Q5}}.,{{Q5}} permits much more control than {{Q8}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q8}} has much more chance of serious physical injury compare to {{Q5}}.,Yes
,,01/29/2018 02:41:47 AM,01/29/2018 02:42:14 AM,,,,,,san francisco ca,usa,1967,Some college but no degree,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/29/2018 02:38:50 AM,01/29/2018 02:42:41 AM,,,,,,madurai and tamil nadu,india,1992,Bachelor degree,Male,handkop and slowly runner so some feel about me,gym is daily excerise and developed body machle,I feel slightly hindered.,good excerise,football,I feel slightly hindered.,Group,Solo,Beginner,Competent amateur,{{Q8}} requires somewhat more skill than {{Q5}}.,Both offer roughly equal predictability.,{{Q8}} offers a somewhat more novelty than {{Q5}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is somewhat more complex than {{Q8}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q5}} permits much more control than {{Q8}}.,Both bring me into the present to a roughly equal extent.,{{Q5}} feels effortless compare to {{Q8}} where I have to struggle and force myself.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During {{Q8}}, I am much more concerned about others' evaluations than during {{Q5}}.",{{Q8}} is somewhat more rewarding than {{Q5}}.,The chance of physical injury is roughly equal.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,01/29/2018 02:37:23 AM,01/29/2018 02:43:18 AM,,,,,,"madurai, tamilnadu",india,1990,Graduate degree,Female,swimming,"swim in water, maintained structure and its very maintain stamina",,running,running is very healthy to avoid colestrol,I feel slightly hindered.,Solo,Group,Competent amateur,Competent amateur,Both require roughly equal skill.,{{Q8}} is somewhat more predictable than {{Q5}}.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,{{Q5}} is somewhat more complex than {{Q8}}.,Both have equally clear goals.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q8}} has much more clear goals than {{Q5}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q5}} brings me into the present much more than {{Q8}}.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q8}}, I am much more concerned about others' evaluations than during {{Q5}}.",Both are roughly equally rewarding.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,The chance of serious physical injury is roughly equal.,Yes
,,01/29/2018 02:36:54 AM,01/29/2018 02:43:53 AM,,,,,,"MADURA, TAMILNADU",INDIA,1990,Graduate degree,Female,SWIMMING,"swim in water, maintained structure and its very maintain stamina",,RUNNING,running is very healthy to avoid colestrol,I feel slightly hindered.,Group,Group,Competent amateur,Expert or professional,{{Q8}} requires somewhat more skill than {{Q5}}.,Both offer roughly equal predictability.,{{Q8}} offers a somewhat more novelty than {{Q5}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,Both are of roughly equal complexity.,{{Q5}} has somewhat more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,{{Q5}} involves somewhat more of my body than {{Q8}}.,Both admit roughly equal control.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q5}} feels like less effort than {{Q8}}.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,The chance of serious physical injury is roughly equal.,Yes
,,01/26/2018 01:23:47 AM,01/26/2018 01:30:04 AM,,,,,,"mercer island, WA",USA,1974,Bachelor degree,Male,basketball,one on one game of basketball with a friend.,I do not feel hindered or do not have a physical disability.,swimming,Race against a friend at a lake.,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,{{Q8}} requires somewhat more skill than {{Q5}}.,{{Q8}} is somewhat more predictable than {{Q5}}.,{{Q5}} offers a much more novelty than {{Q8}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,Both are of roughly equal complexity.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q8}} permits somewhat more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",{{Q8}} is somewhat more rewarding than {{Q5}}.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,01/26/2018 12:44:54 AM,01/26/2018 01:04:35 AM,,,,,,"Los Angeles, CA",USA,1981,Bachelor degree,Male,Basketball,"Played some solo basketball, took shots for fun and exercise for about half an hour",I do not feel hindered or do not have a physical disability.,Swimming,Swam some laps in the pool,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a much more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,Both have equally clear goals.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,{{Q8}} involves much more of my body than {{Q5}}.,Both admit roughly equal control.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,{{Q5}} has much higher stakes than {{Q8}}.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,01/26/2018 12:41:51 AM,01/26/2018 12:48:10 AM,,,,,,"Lexington, KY",USA,1976,Bachelor degree,Male,golf,I am a fairly regular golfer. I play with friends and family and sometime play alone.,I do not feel hindered or do not have a physical disability.,basketball,I have some younger homies who think they can hoop and we play at the park down from my house. I whip that ass. I am still a good basketball player.,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is somewhat more predictable than {{Q5}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,Both admit roughly the same amount of creativity.,{{Q8}} is somewhat more complex than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q8}} permits somewhat more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q8}} has much more chance of serious physical injury compare to {{Q5}}.,Yes
,,01/26/2018 12:33:41 AM,01/26/2018 12:34:43 AM,,,,,,"Allentown, PA",USA,1984,Some college but no degree,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/26/2018 12:33:17 AM,01/26/2018 12:42:47 AM,,,,,,"MADURAI,TAMILNADU",,1983,Bachelor degree,Male,CYCLING,CYCLING-PEDALING A CYCLE IN BOTH COCK WISE AND ANTI CLOCK WISE DIRECTION.  ,I do not feel hindered or do not have a physical disability., WALKING,WALKING-WALKING FAST FOR AT LEAST AN HOUR TILL WE GET SWEAT..,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q8}} admits much more creativity than {{Q5}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q8}} permits somewhat more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,{{Q8}} feels like less effort than {{Q5}}.,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is much more rewarding than {{Q8}}.,The chance of physical injury is roughly equal.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,01/26/2018 12:26:22 AM,01/26/2018 12:42:24 AM,,,,,,"texax,,tx",usa,1986,Bachelor degree,Male,"gettogether sports activity, we as a group gathered together after 10 years and celebrated the day with sports","running race, we played the game very well with intrest",I feel slightly hindered.,gym,the activity is short but worthable,I feel slightly hindered.,Group,Solo,Competent amateur,Competent amateur,Both require roughly equal skill.,{{Q5}} is somewhat more predictable than {{Q8}}.,{{Q8}} offers a somewhat more novelty than {{Q5}}.,{{Q8}} admits much more creativity than {{Q5}}.,{{Q8}} is somewhat more complex than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q5}} feels effortless compare to {{Q8}} where I have to struggle and force myself.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",{{Q5}} is somewhat more rewarding than {{Q8}}.,The chance of physical injury is roughly equal.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,01/26/2018 12:25:12 AM,01/26/2018 12:48:52 AM,,,,,,"Richmond, VA",USA,1995,Bachelor degree,Female,PLAYING,"FLOOR HOCKEY:The floor hockey unit has been arranged in a progression of skills such that they are presented from the simple to the complex. Each lesson should be taught with the ability of each student as a guideline.The concept of progression is inherent within the ideas mentioned , provided the students is helped to understand himslf/herself in relation to their movement potential .",I feel slightly hindered.,PLAYING,"Football is a family of team sports that involve, to varying degrees, kicking a ball with a foot to score a goal. Unqualified, the word football is understood to refer to whichever form of football is the most popular in the regional context in which the word appears. Sports commonly called football in certain places include: association football (known as soccer in some countries); gridiron football (specifically American football or Canadian football); Australian rules football; rugby football (either rugby league or rugby union); and Gaelic football.[1][2] These different variations of football are known as football codes.",I feel slightly hindered.,Solo,Group,Competent amateur,Competent amateur,Both require roughly equal skill.,{{Q5}} is much more predictable than {{Q8}}.,{{Q8}} offers a much more novelty than {{Q5}}.,Both admit roughly the same amount of creativity.,{{Q5}} is somewhat more complex than {{Q8}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,{{ Q8 }} involves a lot more waiting than {{ Q5 }}.,Both involve my body to a roughly equal extent.,{{Q8}} permits somewhat more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,{{Q8}} feels like less effort than {{Q5}}.,Both have roughly equal stakes.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",{{Q8}} is somewhat more rewarding than {{Q5}}.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.,Yes
,,01/26/2018 12:22:24 AM,01/26/2018 12:29:53 AM,,,,,,"Madurai,TN",India,1968,Graduate degree,Male,running,,I do not feel hindered or do not have a physical disability.,relay,,I do not feel hindered or do not have a physical disability.,Solo,Group,Expert or professional,Expert or professional,{{Q5}} requires much more skill than {{Q8}}.,{{Q5}} is much more predictable than {{Q8}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q8}} admits somewhat more creativity than {{Q5}}.,{{Q8}} is somewhat more complex than {{Q5}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,{{ Q8 }} involves a lot more waiting than {{ Q5 }}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During {{Q8}}, I am much more concerned about others' evaluations than during {{Q5}}.",Both are roughly equally rewarding.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,The chance of serious physical injury is roughly equal.,Yes
,,01/26/2018 12:21:31 AM,01/26/2018 12:29:58 AM,,,,,,new iberia louisiana,united states,1984,"High school degree or equivalent (e.g., GED)",Male,basket ball tournament ,i and some of my friends entered a basket ball tournament where we played for a charity,I do not feel hindered or do not have a physical disability., weight lifting  competitively ,i go to the gym monthly to compete with others at weight lifting.,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,Both require roughly equal skill.,{{Q8}} is somewhat more predictable than {{Q5}}.,Both offer roughly equal novelty.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q5}} is somewhat more complex than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,Both involve my body to a roughly equal extent.,{{Q8}} permits somewhat more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,{{Q8}} feels like less effort than {{Q5}}.,Both have roughly equal stakes.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,01/26/2018 12:17:57 AM,01/26/2018 12:25:05 AM,,,,,,"Raleigh, NC",USA,1984,Associate degree,Male,Basketball,Playing for a local league,I do not feel hindered or do not have a physical disability.,Running,Daily exercise alone running 5 miles,I do not feel hindered or do not have a physical disability.,Group,Solo,Competent amateur,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,Both involve my body to a roughly equal extent.,{{Q8}} permits much more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,01/24/2018 07:22:57 PM,01/24/2018 07:24:36 PM,,,,,,TAMILNADU,INDIA,1992,Bachelor degree,Male,yoga,spiritual  yoga with some stress to body,I do not feel hindered or do not have a physical disability.,gym,formal gym activites,I do not feel hindered or do not have a physical disability.,Solo,Solo,Beginner,Beginner,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q5}} is somewhat more complex than {{Q8}}.,{{Q8}} has much more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,Both involve about the same amount of waiting.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q8}} permits much more control than {{Q5}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q8}} feels like less effort than {{Q5}}.,{{Q8}} has much higher stakes than {{Q5}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",{{Q5}} is somewhat more rewarding than {{Q8}}.,The chance of physical injury is roughly equal.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,01/24/2018 07:19:04 PM,01/24/2018 07:22:04 PM,,,,,,TAMILNADU,INDIA,1992,Bachelor degree,Male,YOGA,SPIRITUAL YOGA WHICH Y\USED TO STRESS OUR BODY AND MEDITATION,I do not feel hindered or do not have a physical disability.,GYM,FORMAL EXERCISE,I do not feel hindered or do not have a physical disability.,Solo,Solo,Beginner,Beginner,{{Q5}} requires much more skill than {{Q8}}.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,{{Q5}} is somewhat more complex than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,Both involve about the same amount of waiting.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q8}} permits somewhat more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,{{Q5}} feels like less effort than {{Q8}}.,Both have roughly equal stakes.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",{{Q8}} is much more rewarding than {{Q5}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q8}} has much more chance of serious physical injury compare to {{Q5}}.,
,,01/24/2018 06:55:55 PM,01/24/2018 07:03:17 PM,,,,,,"Huntington Beach, CA",USA,1989,Bachelor degree,Male,Bicycling,Pedaling bicycle for 10+ miles.,I do not feel hindered or do not have a physical disability.,Weightlifting,Olympic-style barbell weightlifting.,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q8}} requires much more skill than {{Q5}}.,Both offer roughly equal predictability.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q8}} is somewhat more complex than {{Q5}}.,{{Q8}} has much more clear goals than {{Q5}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q8}} has much more clear goals than {{Q5}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q8 }} involves a lot more waiting than {{ Q5 }}.,{{Q8}} involves much more of my body than {{Q5}}.,{{Q5}} permits somewhat more control than {{Q8}}.,Both bring me into the present to a roughly equal extent.,{{Q5}} feels like less effort than {{Q8}}.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",Both are roughly equally rewarding.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,The chance of serious physical injury is roughly equal.,Yes
,,01/24/2018 06:44:44 PM,01/24/2018 06:45:01 PM,,,,,,,,,,,asdf,,,asdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/24/2018 06:42:01 PM,01/24/2018 06:44:38 PM,,,,,,"Christiansburg, VA",USA,1990,Some college but no degree,Male,Martial arts,Mixed martial arts,I do not feel hindered or do not have a physical disability.,Calisthenics,"Jumping jacks, push ups, crunches/curl ups.",I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,Both have equally clear goals.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} has much more clear goals than {{Q5}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,{{Q8}} permits somewhat more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
